  frez       Ax       Bx       By       Cy       Cx      Dx        Dy       Ay
4272.060    0.226   -0.187   -3.622    3.642   -1.112    1.178   -0.229    0.216 
4281.758    3.219   -3.251    0.010    0.029    0.183   -0.216    2.064   -2.015 
4288.036    0.942   -0.901   -0.796    0.869    3.187   -3.138   -1.745    1.811 
4300.142    1.846   -1.795    0.827   -0.853   -1.826    1.832   -2.694    2.726 
4271.939   -0.240    0.225   -0.157    0.122   -3.679    3.697    0.927   -0.987 
4281.079    0.425   -0.521    2.940   -2.862    0.464   -0.507    2.409   -2.398 
4283.374    2.115   -2.115   -2.264    2.247    0.499   -0.532    2.218   -2.186 
4297.344    3.156   -3.159    1.092   -1.034   -0.681    0.702   -1.748    1.787 
4276.057    1.569   -1.622   -0.640    0.643   -1.468    1.421    3.106   -3.089 
4282.203    0.392   -0.476    2.959   -2.885    2.003   -2.080    1.358   -1.301 
4287.683   -2.497    2.465    1.690   -1.746   -2.303    2.291    0.522   -0.604 
4302.193    2.409   -2.415    1.679   -1.653   -1.769    1.785   -1.719    1.728 
4280.768   -1.827    1.866    0.244   -0.265    0.748   -0.709   -3.271    3.261 
4285.781   -2.582    2.504    2.263   -2.312   -1.058    1.016    1.346   -1.420 
4293.294   -0.946    0.977   -2.259    2.217   -2.936    2.976   -0.314    0.259 
4302.431   -1.973    1.975   -2.106    2.099    2.093   -2.101    1.415   -1.419 
4278.182    1.514   -1.577   -0.263    0.270   -1.751    1.701    3.039   -3.033 
4284.273   -3.138    3.158    0.698   -0.782   -1.983    1.984    0.500   -0.575 
4290.325    0.335   -0.283   -2.892    2.887   -1.937    2.029   -1.557    1.510 
4302.167   -1.498    1.527   -2.401    2.404    1.955   -1.972    1.695   -1.657 
4282.560    2.919   -2.886   -1.089    1.116   -0.413    0.407    2.231   -2.188 
4283.628   -0.057    0.108   -3.241    3.271   -1.034    1.104   -1.712    1.709 
4287.475   -2.068    1.998   -0.267    0.214   -2.495    2.447    2.062   -2.135 
4299.312   -1.472    1.434   -1.643    1.707    2.724   -2.683    1.568   -1.579 
4277.195    2.912   -2.919    1.895   -1.879    1.299   -1.356    0.923   -0.855 
4281.364   -2.203    2.189    2.684   -2.701    1.443   -1.477   -0.700    0.696 
4287.288    0.338   -0.300   -1.739    1.795    2.957   -2.928   -1.647    1.706 
4300.029    1.133   -1.072    0.837   -0.859   -1.446    1.475   -3.254    3.275 
4281.681   -1.414    1.358    3.398   -3.370   -0.339    0.306    1.087   -1.090 
4283.677    1.914   -1.959   -0.299    0.327   -0.741    0.687    3.245   -3.184 
4289.078   -1.989    2.030   -1.287    1.208   -2.982    2.997    0.402   -0.454 
4297.979   -2.216    2.253   -1.266    1.230    2.256   -2.290    1.741   -1.707 
4278.215   -1.140    1.202    0.116   -0.118    0.981   -0.941   -3.502    3.524 
4282.006   -0.103    0.162   -2.736    2.688   -2.562    2.625   -0.771    0.732 
4289.114   -3.017    3.005    1.544   -1.619   -1.684    1.656    0.565   -0.630 
4300.918    2.055   -2.073    2.194   -2.200   -2.074    2.050   -1.168    1.179 
4280.715   -0.082    0.111   -3.012    3.000   -2.344    2.397   -0.040    0.003 
4281.938    0.247   -0.285    1.144   -1.171   -1.547    1.482    3.317   -3.307 
4285.369    3.265   -3.247   -1.191    1.245    1.401   -1.398    0.840   -0.774 
4294.756   -2.007    1.998   -1.661    1.685    2.188   -2.195    1.756   -1.738 
4272.204    0.338   -0.294   -3.040    3.009   -2.221    2.327    0.392   -0.450 
4280.551    2.350   -2.411    0.834   -0.804   -0.273    0.196    2.908   -2.841 
4286.434   -2.413    2.392    1.523   -1.590   -2.154    2.142    1.338   -1.406 
4300.105   -1.776    1.766   -1.535    1.552    2.174   -2.220    2.107   -2.068 
4273.548   -3.046    3.089    1.238   -1.305    0.550   -0.538   -1.836    1.794 
4282.389   -1.581    1.546    0.556   -0.640   -2.597    2.530    2.269   -2.329 
4285.729   -0.187    0.274   -2.460    2.411   -2.168    2.223   -1.982    1.956 
4302.160    1.627   -1.674    2.614   -2.605   -1.745    1.714   -1.483    1.483 
4277.062   -0.761    0.713    3.038   -2.973    2.148   -2.170   -0.621    0.650 
4284.174    0.207   -0.296    1.930   -1.939   -1.837    1.762    2.745   -2.781 
4287.666    2.841   -2.850   -0.455    0.527    2.068   -2.079    1.475   -1.400 
4302.920    2.465   -2.444    1.285   -1.265   -1.568    1.578   -2.129    2.162 
4276.065    3.576   -3.581   -0.862    0.924    0.482   -0.467    0.920   -0.877 
4281.300   -0.097    0.152   -2.619    2.567   -2.741    2.752   -0.621    0.613 
4289.812   -0.007   -0.062    1.639   -1.676   -2.205    2.141    2.668   -2.717 
4297.083    1.353   -1.336    2.095   -2.108   -1.496    1.457   -2.480    2.531 
4273.824    1.826   -1.770   -3.325    3.356   -0.448    0.490    0.053   -0.020 
4277.453   -2.397    2.406   -0.951    0.897   -2.684    2.705   -0.893    0.830 
4282.068    1.619   -1.654    1.245   -1.256   -2.544    2.513    2.000   -2.010 
4294.034    1.747   -1.693    1.012   -1.011   -0.863    0.877   -3.131    3.175 
4278.330   -1.987    1.930    2.871   -2.916    1.440   -1.501   -0.537    0.516 
4287.084    2.181   -2.162   -0.165    0.266    3.089   -3.062   -0.651    0.734 
4289.643    1.335   -1.402    1.577   -1.571   -0.173    0.092    3.228   -3.208 
4305.043   -2.070    2.067   -1.936    1.951    1.758   -1.745    1.898   -1.907 
4277.230   -0.131    0.152   -3.350    3.378   -1.766    1.861   -0.076    0.031 
4283.338    1.603   -1.641    0.503   -0.516   -1.207    1.144    3.240   -3.215 
4289.598    2.959   -2.938   -1.188    1.265    2.063   -2.050   -0.498    0.578 
4300.763   -1.850    1.818   -1.225    1.269    2.397   -2.421    2.009   -1.984 
4271.734    0.209   -0.204    0.581   -0.532    3.719   -3.721   -0.606    0.661 
4278.081    2.986   -2.963   -1.485    1.522    0.367   -0.371    1.872   -1.816 
4282.958    0.114   -0.010   -2.927    2.906    0.039    0.019   -2.467    2.493 
4297.024    2.419   -2.387    1.910   -1.878   -0.776    0.781   -2.144    2.201 
4284.955   -2.414    2.405    1.310   -1.314    1.524   -1.500   -2.234    2.193 
4289.854   -2.382    2.363   -0.441    0.363   -2.970    2.973    0.269   -0.365 
4292.107   -0.479    0.390    2.984   -2.976    0.153   -0.241    2.377   -2.366 
4307.313   -1.764    1.755   -1.993    1.996    1.885   -1.898    2.030   -2.023 
4273.080    3.379   -3.307   -1.640    1.712   -0.246    0.281    0.775   -0.697 
