  frez       Ax       Bx       By       Cy       Cx      Dx        Dy       Ay
4287.001   -1.181    1.227    0.105   -0.108    1.179   -1.138   -3.446    3.457 
4290.950   -2.932    2.922    0.824   -0.906   -2.325    2.296    0.239   -0.303 
4292.441    1.127   -1.073   -2.439    2.418   -2.432    2.470   -1.277    1.273 
4306.756    1.856   -1.892    2.856   -2.844   -1.445    1.414   -1.037    1.047 
4287.995    0.334   -0.351   -0.907    0.863   -3.121    3.101    2.015   -2.059 
4294.515   -1.140    1.063    3.131   -3.141    0.204   -0.278    1.905   -1.918 
4295.416    2.743   -2.764   -0.360    0.426    1.714   -1.741    2.045   -1.976 
4309.678    2.418   -2.428    2.009   -1.990   -1.415    1.417   -1.699    1.710 
4281.090    0.267   -0.204   -2.343    2.266   -3.021    3.047   -0.301    0.280 
4289.891   -0.947    1.006   -0.288    0.277    0.511   -0.481   -3.653    3.679 
4291.840   -2.436    2.397    2.236   -2.297   -1.952    1.900    0.185   -0.231 
4306.157   -2.801    2.827   -2.063    2.029    1.243   -1.215    1.047   -1.087 
4280.790    1.200   -1.272   -0.066    0.072   -1.747    1.687    3.192   -3.192 
4290.873   -2.280    2.289    0.410   -0.481   -2.956    2.980   -0.750    0.653 
4293.580   -1.130    1.061    3.354   -3.341    1.064   -1.118    1.077   -1.079 
4307.840   -2.605    2.615   -1.848    1.810    1.322   -1.336    1.676   -1.695 
4280.832   -3.270    3.297   -0.007   -0.066   -1.131    1.149   -1.640    1.569 
4283.663   -0.854    0.834    1.663   -1.621    3.302   -3.308   -0.590    0.607 
4295.343    1.016   -0.934   -2.356    2.385    0.975   -0.901   -2.686    2.720 
4305.168   -1.500    1.486   -2.529    2.546    1.272   -1.240    2.107   -2.136 
4279.159   -0.792    0.857   -0.330    0.313    0.204   -0.167   -3.712    3.725 
4286.843   -0.020   -0.011    1.674   -1.618    3.468   -3.458    0.035   -0.016 
4289.721   -2.480    2.438    2.621   -2.679   -1.284    1.236    0.227   -0.278 
4304.230    2.817   -2.850    2.231   -2.196   -1.050    1.023   -0.845    0.883 
4283.723    3.612   -3.608   -0.773    0.826    0.194   -0.200    1.021   -0.957 
4289.009    0.389   -0.388    1.283   -1.230    3.432   -3.434   -1.074    1.131 
4295.358    0.049    0.028   -2.930    2.939    0.323   -0.240   -2.463    2.464 
4306.984   -1.231    1.217   -1.977    1.989    1.674   -1.685    2.556   -2.548 
4278.972   -0.029    0.062   -3.487    3.480   -1.548    1.615   -0.127    0.092 
4286.218    3.676   -3.657   -0.358    0.398    0.652   -0.664    0.861   -0.790 
4292.190   -0.225    0.261   -1.280    1.337    3.058   -3.010   -1.918    1.960 
4306.583   -1.115    1.066   -0.801    0.824    1.591   -1.625    3.218   -3.212 
4287.128    1.165   -1.120   -3.556    3.574   -0.802    0.857   -0.106    0.109 
4288.562   -2.941    2.961   -0.875    0.856    0.000    0.052   -2.318    2.268 
4293.370   -1.846    1.800   -0.135    0.085   -2.373    2.339    2.388   -2.452 
4306.959    1.184   -1.163    1.090   -1.127   -2.916    2.930   -1.915    1.890 
4281.665   -1.867    1.817    3.288   -3.301    0.639   -0.676   -0.087    0.068 
4284.279   -1.308    1.287   -0.041   -0.017   -3.491    3.489    0.868   -0.944 
4290.020   -2.804    2.850   -1.752    1.718    0.602   -0.558   -1.852    1.822 
4304.691   -1.294    1.263   -0.904    0.896    1.294   -1.342    3.256   -3.248 
4292.440    1.011   -1.022   -1.739    1.713   -2.578    2.565    2.021   -2.048 
4294.473    2.151   -2.191    2.119   -2.093    1.066   -1.135    2.122   -2.068 
4297.847   -2.510    2.454    2.180   -2.241   -1.571    1.517    1.128   -1.192 
4310.817   -1.706    1.677   -1.554    1.581    2.134   -2.138    2.212   -2.215 
4279.127    0.567   -0.528   -2.266    2.212   -2.967    2.982    0.690   -0.722 
4282.784    1.182   -1.106   -2.304    2.334    1.404   -1.338   -2.446    2.492 
4287.993   -1.938    1.960    0.885   -0.939   -1.675    1.680   -2.705    2.679 
4302.551   -3.038    3.074   -1.885    1.832    1.057   -1.047    0.901   -0.925 
4271.207   -0.049    0.077    0.951   -0.874    3.460   -3.411   -1.358    1.438 
4286.333    3.085   -3.121    0.684   -0.644    0.680   -0.731    2.058   -2.006 
4288.612    1.419   -1.350   -3.335    3.372    0.477   -0.397   -1.146    1.183 
4303.569    1.797   -1.757    1.473   -1.482   -1.448    1.461   -2.683    2.712 
4283.597   -3.121    3.114    1.749   -1.819   -0.663    0.607    1.158   -1.174 
4289.810    1.033   -1.043   -0.871    0.854   -1.990    1.949    3.010   -3.003 
4295.814    1.631   -1.695    2.686   -2.633    1.738   -1.793    1.368   -1.321 
4305.884   -1.040    1.081   -1.931    1.941    2.709   -2.720    1.614   -1.556 
4286.664   -2.615    2.580    2.765   -2.813    0.247   -0.303    0.315   -0.336 
4292.204    0.428   -0.460    0.133   -0.153   -1.511    1.451    3.515   -3.510 
4295.245    2.435   -2.487    2.068   -1.997    2.064   -2.099    0.512   -0.457 
4308.307   -1.301    1.325   -1.663    1.683    2.862   -2.862    1.455   -1.415 
4281.705   -0.242    0.291   -0.272    0.297    1.502   -1.431   -3.509    3.525 
4287.042   -2.685    2.647    2.734   -2.773    0.122   -0.162    0.018   -0.049 
4294.633    2.161   -2.205    2.021   -1.949    2.351   -2.385    0.695   -0.629 
4305.672   -1.654    1.681   -1.765    1.769    2.638   -2.646    1.383   -1.349 
4275.612   -3.019    3.051    0.323   -0.368   -0.027    0.059   -2.334    2.270 
4276.770    0.152   -0.093   -3.586    3.574   -1.126    1.198   -0.679    0.661 
4290.972    2.040   -1.986   -0.002    0.050    1.861   -1.828   -2.664    2.727 
4301.871   -1.183    1.162   -1.276    1.329    3.172   -3.151    1.293   -1.287 
4285.341   -1.266    1.198    3.167   -3.151    1.748   -1.807   -0.214    0.218 
4293.047   -1.565    1.629   -0.817    0.785   -0.064    0.114   -3.405    3.392 
4295.615    2.241   -2.211   -0.768    0.857    2.892   -2.860   -0.892    0.970 
4310.015    2.397   -2.398    1.857   -1.850   -1.828    1.811   -1.500    1.523 
4287.045    2.343   -2.381   -0.355    0.392   -0.169    0.144    3.007   -2.984 
4292.219    1.663   -1.588   -2.879    2.889   -0.939    0.996   -1.674    1.700 
4295.169    1.898   -1.892    0.829   -0.753    3.008   -2.992   -1.210    1.275 
4308.040   -1.704    1.716   -2.375    2.393    2.212   -2.174    1.155   -1.168 
4276.063   -1.866    1.800    3.327   -3.343    0.185   -0.238    0.309   -0.328 
4281.922   -0.621    0.601   -0.375    0.318   -3.116    3.094    2.097   -2.161 
4290.378   -3.045    3.093   -1.525    1.468   -0.372    0.417   -1.725    1.681 
4301.326    1.237   -1.240    1.078   -1.069   -2.172    2.231   -2.704    2.657 
4283.995   -0.804    0.799    2.138   -2.102    2.330   -2.327   -2.020    2.051 
4286.968    0.538   -0.453   -2.770    2.782    0.509   -0.418   -2.549    2.562 
4295.362    2.716   -2.730   -0.276    0.356    2.349   -2.366    1.339   -1.259 
4307.867   -2.541    2.549   -1.558    1.542    1.878   -1.885    1.532   -1.533 
4287.790    1.695   -1.703    0.334   -0.253    3.279   -3.251   -1.015    1.060 
4288.618    2.510   -2.548   -0.408    0.443   -0.393    0.371    2.840   -2.820 
4290.768    1.931   -1.889   -1.971    1.977   -1.496    1.541   -2.202    2.206 
4306.421    1.312   -1.358    3.261   -3.259   -1.287    1.242   -0.873    0.874 
4280.491   -3.623    3.621    1.155   -1.206   -0.126    0.112   -0.396    0.354 
4287.723    0.892   -0.949    3.352   -3.332    1.013   -1.085    1.277   -1.241 
4291.712   -0.454    0.434   -0.547    0.510   -1.890    1.844    3.277   -3.287 
4306.008    0.698   -0.702    1.344   -1.387   -3.191    3.192   -1.515    1.470 
4286.464   -0.200    0.188   -0.516    0.468   -3.596    3.587    1.210   -1.262 
4290.065    3.147   -3.163   -0.771    0.825    0.595   -0.613    1.972   -1.918 
4295.272   -1.002    0.921    2.703   -2.701    0.509   -0.575    2.490   -2.504 
4307.109    1.949   -1.964    2.581   -2.556   -1.069    1.065   -1.780    1.797 
4275.917    0.177   -0.236    0.374   -0.393   -2.213    2.169    3.085   -3.127 
4284.821   -0.731    0.667    3.474   -3.448    1.353   -1.398    0.588   -0.580 
4287.955   -1.623    1.627    1.043   -1.084   -2.668    2.707   -1.957    1.886 
4304.605   -3.403    3.412   -1.221    1.170    0.862   -0.875    0.968   -1.001 
4279.064    1.576   -1.513   -2.823    2.832   -2.025    2.072    0.299   -0.288 
4284.701    2.282   -2.256   -0.848    0.943    2.969   -2.939    0.081   -0.002 
4293.680   -1.720    1.788   -1.845    1.834    0.860   -0.796   -2.763    2.752 
4306.252    2.037   -2.014    1.587   -1.578   -1.032    1.034   -2.646    2.677 
4278.691    0.251   -0.211   -1.670    1.597   -3.433    3.454    0.232   -0.272 
4283.895    3.509   -3.494   -1.149    1.223    0.848   -0.824    0.595   -0.537 
4295.339   -0.279    0.361   -1.982    1.982    0.723   -0.653   -3.195    3.209 
4305.790    1.500   -1.516    2.599   -2.593   -1.286    1.258   -2.021    2.039 
4287.122   -2.342    2.287    2.872   -2.908    0.933   -0.989   -0.299    0.275 
4294.925   -0.172    0.121    0.758   -0.793   -1.734    1.670    3.344   -3.362 
4295.879   -2.388    2.427   -1.246    1.161   -2.496    2.524   -1.136    1.066 
4310.541   -1.880    1.899   -2.079    2.086    2.164   -2.150    1.495   -1.485 
4283.598   -2.806    2.855    0.199   -0.228    0.709   -0.655   -2.508    2.457 
4289.651    1.271   -1.276    1.588   -1.524    3.232   -3.246   -0.395    0.474 
4296.595    1.600   -1.530   -2.893    2.932    0.568   -0.490   -1.869    1.902 
4308.733    1.633   -1.607    1.940   -1.966   -1.873    1.868   -2.194    2.200 
4284.652   -0.359    0.369    1.351   -1.300    3.076   -3.056   -1.825    1.871 
4290.900   -0.185    0.100    2.929   -2.925    0.166   -0.249    2.469   -2.470 
4294.889    2.642   -2.645   -1.313    1.379    1.850   -1.852    1.625   -1.559 
4308.783    2.766   -2.766    1.624   -1.601   -1.356    1.356   -1.628    1.649 
4285.026   -2.830    2.868    1.077   -1.127    0.600   -0.564   -2.273    2.212 
4291.233   -1.325    1.255    1.968   -2.001   -2.251    2.209    2.009   -2.063 
4296.181    0.847   -0.909    2.631   -2.575    2.531   -2.587    0.851   -0.791 
4309.134    2.039   -2.046    1.694   -1.665   -1.682    1.718   -2.215    2.205 
4276.679    1.458   -1.386   -3.226    3.240   -1.418    1.489   -0.200    0.212 
4281.691    2.118   -2.163    0.426   -0.369    0.755   -0.781    3.075   -3.034 
4290.365    2.201   -2.176    0.096   -0.017    2.340   -2.306   -2.099    2.155 
4302.052   -1.812    1.816   -1.989    2.030    2.600   -2.547    0.873   -0.885 
4287.341   -2.564    2.612    0.663   -0.703    0.549   -0.505   -2.724    2.669 
4293.351   -0.630    0.547    3.475   -3.460    0.305   -0.365    1.503   -1.506 
4296.251   -1.644    1.637   -0.353    0.289   -3.351    3.361    0.802   -0.881 
4309.756    2.243   -2.235    1.476   -1.458   -1.752    1.776   -2.116    2.125 
4277.201   -1.100    1.164    0.148   -0.122    1.508   -1.434   -3.328    3.358 
4285.652    0.972   -1.005    2.977   -2.943    2.082   -2.134    0.739   -0.682 
4291.585   -3.166    3.121    1.721   -1.784   -1.210    1.165    0.571   -0.646 
4304.126   -1.617    1.595   -1.666    1.714    2.602   -2.576    1.612   -1.612 
4275.742    1.438   -1.390   -1.258    1.297    3.069   -3.057   -1.224    1.302 
4281.320   -2.354    2.327    2.352   -2.362    1.750   -1.769   -0.744    0.742 
4292.368    2.341   -2.408    2.459   -2.402    0.590   -0.634    1.693   -1.659 
4300.756   -1.249    1.252   -1.276    1.244    1.301   -1.370    3.143   -3.113 
4286.475   -1.417    1.349    3.184   -3.191   -1.253    1.231    1.010   -1.058 
4290.356    2.017   -2.038   -0.682    0.689   -1.846    1.822    2.612   -2.605 
4293.671    2.385   -2.398    1.885   -1.837    2.322   -2.361    0.312   -0.235 
4305.079    1.741   -1.717    0.783   -0.769   -2.054    2.117   -2.618    2.599 
4283.631    2.454   -2.512    0.543   -0.485    0.896   -0.925    2.743   -2.702 
4288.565    1.062   -1.026   -2.676    2.651   -2.514    2.539    0.401   -0.404 
4296.915    2.072   -2.011   -1.331    1.391    1.948   -1.896   -2.215    2.281 
4306.084   -1.823    1.810   -2.337    2.368    1.984   -1.930    1.424   -1.461 
4280.859    1.048   -1.007   -0.707    0.754    3.199   -3.175   -1.672    1.737 
4283.800    3.090   -3.092   -1.653    1.698   -0.644    0.640    1.405   -1.368 
4292.463    0.309   -0.381    2.144   -2.112    1.749   -1.817    2.643   -2.613 
4302.745    1.971   -2.012    2.645   -2.596   -0.950    0.968   -1.726    1.723 
4279.364    1.659   -1.581   -3.395    3.419   -0.623    0.675    0.068   -0.039 
4288.554    0.982   -0.955   -0.199    0.262    3.577   -3.566   -0.945    1.018 
4295.511   -2.582    2.630   -1.287    1.239   -0.043    0.092   -2.547    2.502 
4308.405    2.108   -2.082    1.197   -1.176   -1.220    1.253   -2.723    2.736 
4283.066    0.341   -0.342   -1.444    1.377   -3.167    3.162    1.571   -1.632 
4292.815    2.070   -2.135    1.281   -1.231    1.025   -1.096    2.785   -2.736 
4295.192   -2.602    2.541    2.467   -2.515   -0.843    0.779    1.108   -1.160 
4309.986    1.899   -1.904    2.233   -2.234   -1.708    1.699   -1.805    1.812 
4280.515   -2.749    2.679    2.585   -2.649    0.052   -0.086   -0.694    0.620 
4293.174    1.012   -1.097    1.881   -1.865   -1.023    0.963    3.023   -3.022 
