  Ax   Bx   By   Cy   Cx   Dx   Dy   Ay   AQ   AL   BQ   BL   CQ   CL   DQ   DL
  9.  10.   3.   4.   6.    6.   0.   0.   2.   2.   5.   0.   0.  10.   2.   0. 
  8.   8.   1.   1.   7.    7.   0.   0.  13.   0.   0.  10.   5.  12.   0.   5. 
  0.   0.   2.   3.   0.    0.   2.   3.  14.  14.   0.  16.  24.   0.   3.  14. 
  5.   5.   9.  10.  14.   15.   0.   0.   0.   0.   0.   0.   0.   1.   0.   4. 
  0.   0.   3.   3.   3.    3.   4.   4.   0.   4.   4.   0.   6.   4.   4.   2. 
  6.   7.   7.   8.   0.    0.   1.   1.   1.   2.   0.   4.  10.   0.   0.   1. 
 10.  10.   8.   8.   2.    2.   0.   0.   1.   8.   4.   1.  13.   0.   0.   1. 
  5.   5.   0.   0.   2.    3.   2.   3.   6.  10.   0.  16.   6.   0.  11.   6. 
  4.   4.   0.   1.   2.    3.   1.   1.   8.  14.  14.   8.   8.   0.   0.   8. 
  2.   2.   2.   2.  14.   14.  10.  10.   2.   0.   0.   2.   2.  12.   0.   6. 
  2.   2.   8.   8.  17.   17.   7.   7.   0.   2.   2.   0.   2.   2.   2.   6. 
  0.   0.   2.   3.   1.    1.   3.   4.   0.  14.   8.   0.   1.   8.   8.   8. 
  2.   2.   0.   0.   1.    1.   1.   2.   2.   5.   0.   2.   2.   0.   0.   2. 
  1.   1.   4.   4.  12.   13.   7.   7.   0.   4.   4.   0.   0.   7.   9.   0. 
  0.   0.   2.   3.   0.    0.   2.   3.   5.   8.   8.  22.   0.  18.   8.   0. 
  5.   5.   5.   5.   1.    1.   0.   0.   4.   0.   1.   4.  12.   0.   0.   4. 
  0.   0.   0.   0.   0.    0.   0.   0.   8.   0.   0.  17.   4.  12.   2.   4. 
  6.   7.   2.   2.   4.    5.   0.   0.  16.   0.   0.   8.   4.   1.   0.   4. 
 12.  13.   0.   1.   2.    3.   9.  10.   6.   2.   6.   6.   6.   0.   0.   6. 
  1.   1.   5.   5.   5.    5.   0.   0.   0.   2.   2.   4.   0.   3.   2.   0. 
  9.  10.   9.  10.   4.    4.   0.   0.   6.   0.   1.   6.  10.   0.   0.   6. 
  1.   1.   0.   0.   2.    2.   1.   1.   0.  11.   2.   0.   0.   2.   2.   7. 
  7.   7.  10.  10.   0.    0.   3.   3.   6.   0.   0.   0.   0.   5.   0.   0. 
