  frez       Ax       Bx       By       Cy       Cx      Dx        Dy       Ay
3846.120    2.287    2.195   -2.323   -2.382   -2.147   -2.108    2.244    2.341 
4045.766    0.594    0.585    3.329    3.757   -0.567   -0.149    2.669    2.808 
4063.787    3.009    2.988    0.179   -0.490    3.668    3.147   -0.009    0.109 
4096.758    2.356    2.675    1.252    1.722   -2.309   -1.792   -2.880   -2.732 
4157.841   -0.951    0.778    4.662   -4.028    0.459   -1.311    0.172   -0.196 
4173.807   -1.261    1.455   -0.256    0.145   -1.032    1.241    4.275   -4.132 
4184.437    4.292   -4.126    0.787   -0.453    0.450   -0.774    1.443   -1.684 
4189.986    0.752   -0.833    0.927   -1.273   -4.045    4.528   -0.869    0.839 
3851.062    2.229    2.180   -2.138   -2.194   -2.322   -2.365    2.330    2.295 
4061.760    2.770    2.753    1.201    1.210    2.963    3.109    1.565    1.601 
4068.450    1.658    1.594   -2.818   -2.835    1.050    1.326   -3.078   -2.855 
4108.992    2.276    2.468    2.710    2.452   -1.933   -2.313   -2.103   -1.908 
4177.653    0.608   -0.629   -0.679    0.383    4.655   -4.305   -0.355    0.363 
4180.681    0.133   -0.306   -0.300    0.350   -0.461    0.395   -4.418    4.655 
4186.531    4.183   -4.057   -1.685    1.944   -0.848    0.639    0.333   -0.467 
4196.225   -1.822    1.974   -4.151    4.189   -0.277    0.152    0.187   -0.257 
3848.596   -2.251   -2.151    2.109    2.132    2.196    2.385   -2.448   -2.351 
4065.508    1.896    1.921   -2.739   -2.741    1.161    1.767   -3.006   -2.424 
4067.268    2.768    2.515    1.653    1.669    2.722    2.938    1.531    1.956 
4114.938    2.254    2.328    2.516    2.407   -2.164   -2.394   -2.150   -2.059 
4174.005    0.444   -0.998   -0.142    0.362   -2.116    1.417   -3.936    4.291 
4187.147    2.549   -2.611   -0.836    0.602    3.689   -3.436   -1.201    0.903 
4191.295   -3.350    3.352    1.396   -1.520    2.349   -2.115   -1.581    1.712 
4196.430   -1.563    1.672   -4.275    4.303    0.261   -0.269   -0.129    0.154 
3837.834   -2.297   -2.397    2.359    2.195    2.044    2.197   -2.276   -2.212 
4040.752    1.865    1.808   -2.575   -2.464    1.965    1.973   -2.607   -2.673 
4048.339    2.887    3.461    3.033    2.253    1.527    1.664    0.825    0.902 
4092.345    1.191    1.139    1.219    1.463   -3.399   -2.799   -2.326   -3.218 
4152.189    4.263   -3.757   -1.693    2.173   -0.025    0.520    0.958   -0.496 
4156.547    1.592   -1.745    3.571   -3.849    1.385   -1.636    1.287   -1.406 
4173.382   -1.402    1.206   -1.306    1.347    1.489   -0.875    4.187   -3.773 
4189.708   -0.194   -0.143    0.863   -1.384   -3.953    4.322    1.841   -1.298 
3846.892   -2.386   -2.426    2.255    2.221    2.125    2.160   -2.242   -2.215 
4054.090    3.449    3.549    0.137    0.003    2.641    2.668   -1.161   -1.219 
4060.957    0.583    0.812    3.493    3.301    0.300    0.305    2.925    2.962 
4102.588   -1.394   -1.420   -2.072   -1.985    3.084    2.940    2.260    2.499 
4160.600    4.546   -4.397   -0.460    0.645    0.115   -0.051    0.730   -0.571 
4178.611   -0.242    0.397   -4.166    4.353   -0.969    0.990   -1.313    1.305 
4183.319   -0.832    0.714   -1.227    1.185   -0.225    0.375    4.407   -4.269 
4192.355    0.169   -0.241    0.942   -1.071   -4.447    4.497    0.060    0.040 
3853.646    2.368    2.203   -2.191   -2.229   -2.207   -2.200    2.263    2.403 
4060.776    2.005    1.927    3.012    2.812    1.647    1.677    2.191    2.558 
4071.013   -2.495   -2.446    1.810    2.175   -2.974   -2.739    1.701    1.530 
4108.498   -2.022   -2.653   -1.933   -1.727    2.351    2.102    2.690    2.594 
4175.885   -2.982    2.787    2.762   -2.912    0.429   -0.332    2.311   -1.840 
4183.869   -0.446    0.914   -2.585    2.523   -2.087    2.456    3.024   -2.891 
4191.616    1.796   -1.446   -0.430    0.794    3.332   -3.546    2.411   -2.548 
4194.961    3.075   -3.082    2.516   -2.372   -2.041    1.897    1.214   -1.422 
3832.533    1.990    2.013   -2.041   -2.146   -2.404   -2.626    2.496    2.153 
4047.980   -2.650   -2.683    2.203    2.209   -1.977   -2.941    1.925    1.038 
4058.693    1.559    1.552    1.987    2.383    2.529    1.788    3.094    2.809 
4106.858    2.757    2.614    2.413    2.689   -1.846   -1.767   -1.956   -1.979 
4148.426    0.364   -0.031   -0.696   -0.163    4.280   -3.747    1.317   -2.552 
4174.910    0.606   -0.454    0.800   -0.819   -1.720    2.163    3.930   -4.104 
4186.839    0.064    0.186    4.687   -4.304    0.666   -0.559   -0.584    0.630 
4190.685   -4.508    4.596    0.059    0.013   -0.051    0.066    0.495   -0.634 
3849.641   -2.329   -2.453    2.312    2.174    2.167    2.158   -2.208   -2.238 
4047.609   -3.285   -2.629    1.305    0.986   -1.722   -1.724    2.190    3.171 
4065.877    1.811    1.896    2.298    2.242    2.274    2.457    2.576    2.584 
4102.526   -2.156   -0.844   -3.219   -2.809    2.588    2.870    0.832    1.562 
4159.294   -3.167    4.309   -0.163    0.995    0.037   -0.530   -2.932    1.734 
4180.220    2.445   -2.112    0.388   -0.658    1.808   -1.451   -3.644    3.495 
4192.012    0.813   -1.014   -4.206    4.562   -0.969    0.753   -0.423    0.519 
4192.232   -0.600    0.338   -1.065    1.075    4.263   -4.114    1.630   -1.260 
3852.295   -2.288   -2.227    2.154    2.212    2.251    2.299   -2.327   -2.306 
4060.090    3.771    3.347   -0.184   -0.305    2.445    2.673   -1.036   -1.331 
4063.251    0.333    0.781    3.014    2.898    1.101    0.989    3.148    3.364 
4104.695    1.628    1.517    2.911    2.441   -2.588   -3.025   -1.529   -2.035 
4170.515   -3.139    3.612    0.837   -1.019   -0.379    0.288   -3.187    2.583 
4180.359    2.564   -2.341   -1.427    1.752    0.580   -0.780   -3.506    3.390 
4187.446   -0.878    0.933   -0.608    0.245    4.651   -4.239    0.383   -0.444 
4194.730   -1.419    1.785   -4.058    4.290   -0.904    0.661    0.546   -0.743 
3845.774    2.174    2.207   -2.421   -2.391   -2.134   -2.162    2.279    2.255 
4042.861    0.590    1.037    3.725    3.338   -0.358   -0.252    2.702    2.693 
4063.575    3.239    3.721    0.300   -0.381    2.884    2.768   -0.731   -0.728 
4096.163   -1.458   -1.928   -1.581   -1.280    3.000    2.680    2.706    2.843 
4152.524    1.402   -0.553   -4.125    4.631   -0.408    0.664   -0.096    0.016 
4174.688    1.515   -1.399    0.312   -0.201    0.223   -0.161    4.338   -4.302 
