  Ax   Bx   By   Cy   Cx   Dx   Dy   Ay   AQ   AL   BQ   BL   CQ   CL   DQ   DL
  9.   9.  28.  28.   0.    0.  19.  19.   0.  20.  17.   0.  38.   9.   9.   0. 
  5.   6.   0.   0.  13.   14.   9.   9.   5.  12.  12.   0.   0.  12.  12.  18. 
  4.   4.   2.   2.   3.    4.   9.  10.   0.  21.   5.   0.   0.   5.   5.  39. 
 17.  18.  17.  17.   0.    0.   8.   9.  34.  17.  44.  34.  34.   0.   0.  34. 
 34.  34.  15.  15.   5.    5.  14.  14.  10.   0.  13.   7.   7.   0.   0.   7. 
  0.   0.   4.   4.   0.    0.   4.   4.   0.  34.  26.   0.  20.   8.   8.   7. 
  7.   7.   5.   5.  28.   28.  16.  16.   6.   0.   0.   6.   6.  27.   0.  62. 
 16.  16.   0.   0.   5.    6.  10.  11.  51.   4.   4.  31.   0.   4.  14.   0. 
  8.   8.   0.   0.   2.    3.   5.   6.  34.  13.  23.   0.   0.  13.  13.  20. 
  9.   9.  35.  36.   4.    4.  23.  23.   6.   0.  35.   6.  17.   0.   0.   6. 
  8.   8.  16.  16.   0.    0.  24.  25.  59.  16.  16.   0.   0.  16.  20.   0. 
  3.   3.  47.  47.  17.   18.  26.  27.  49.   0.   0.  60.  49.  40.   0.  49. 
  0.   0.  28.  29.  11.   11.  39.  40.   0.  27.   0.   0.   1.   0.  15.   0. 
 27.  27.  29.  29.   0.    0.   2.   2.  39.  16.   0.  45.  51.   0.   0.  39. 
