  frez       Ax       Bx       By       Cy       Cx      Dx        Dy       Ay
2900.910   -1.928   -2.033    2.299    2.501    2.356    2.186   -2.339   -2.228 
3047.268   -0.302   -0.067    2.162    2.702    0.842    1.012    3.934    3.360 
3068.709    2.691    2.522   -1.376   -0.980    3.328    3.602    0.528   -0.600 
3094.862    3.432    2.707    2.046    3.207   -1.008   -1.888   -1.122   -1.335 
3132.161   -0.587    1.116   -1.232    0.902    2.047   -1.143   -3.691    4.217 
3146.422    0.702    0.558    4.532   -3.393   -1.118    1.473   -1.549    1.596 
3154.312   -0.569    0.835   -1.623    1.852   -4.146    3.867   -1.230    0.817 
3176.703   -4.192    4.659    0.704   -0.321    0.231   -0.457    0.668   -1.199 
2912.721    2.362    2.406   -2.201   -2.103   -2.022   -2.055    2.392    2.420 
3069.870   -1.575   -1.802    2.517    2.307   -0.493   -0.439    3.425    3.421 
3079.562    3.105    3.000    1.553    1.610    2.815    2.961    0.785    0.791 
3111.943    1.785    1.474    2.779    2.786   -2.791   -2.902   -1.585   -1.458 
3151.978   -0.307    0.237   -0.156    0.121    0.267   -0.174   -4.513    4.552 
3157.677   -4.473    4.523   -0.402    0.807   -0.264    0.120    0.311   -0.239 
3174.321    0.547   -0.742   -4.366    4.447   -1.085    1.056    0.076   -0.012 
3182.722   -0.036    0.016   -1.044    1.117    4.540   -4.370    0.304   -0.196 
2916.329   -2.312   -2.459    2.353    2.137    2.165    2.228   -2.162   -2.192 
3069.542   -2.170   -2.560    1.662    1.809   -3.447   -3.092    1.079    1.151 
3082.738    1.432    1.002    2.686    2.662    1.292    1.938    3.170    2.965 
3108.527   -2.824   -2.719   -1.727   -2.805    1.799    1.249    2.436    2.137 
3155.602   -2.421    1.774   -2.759    2.163   -2.911    3.309    0.672   -0.512 
3165.143   -3.575    3.544   -0.043    0.920    2.510   -2.557   -0.912    1.363 
3173.662    1.095   -1.441   -1.799    1.370   -0.077    0.566   -3.926    4.220 
3178.919    1.269   -1.611   -3.499    3.371    2.262   -1.937    1.762   -1.518 
2912.345    2.469    2.360   -2.229   -2.136   -2.092   -2.190    2.189    2.311 
3070.288    3.369    3.301    0.388   -0.067    3.040    2.977   -0.763   -0.438 
3074.563    0.635    0.553    3.795    3.563   -0.473   -0.258    2.365    2.767 
3107.267    1.530    1.994    1.366    1.586   -2.930   -2.252   -2.539   -3.272 
3151.182    4.353   -4.266   -1.170    1.318   -0.462    0.313   -0.782    0.368 
3160.458    1.295   -1.359    3.673   -3.538    2.039   -2.629    0.514   -0.850 
3171.147    0.282   -0.038   -1.654    1.935    1.863   -1.342    4.148   -3.577 
3176.046    0.402   -0.591    1.522   -1.927   -3.359    3.749    2.515   -1.956 
2913.550   -2.063   -2.061    2.202    2.498    2.606    2.339   -2.093   -2.071 
3075.381    2.809    2.786    0.818    1.600    3.130    2.279    1.929    1.959 
3083.664   -1.242   -1.256    2.911    3.241   -1.729   -2.097    2.507    2.429 
3117.806   -2.662   -2.678   -1.921   -2.051    1.801    1.827    2.580    2.536 
3154.546    0.043    0.397    2.486   -1.556   -3.665    4.371    0.320    0.210 
3170.565   -0.175    0.330    4.212   -3.896    2.185   -1.991    0.264   -0.190 
3180.009    3.191   -3.143    0.047   -0.045   -0.051    0.090    3.293   -3.351 
3181.500    3.302   -3.315    0.406   -0.345    0.008   -0.011   -3.133    3.185 
2911.664    2.452    2.286   -2.154   -2.040   -2.076   -2.243    2.282    2.422 
3070.480    3.326    3.341    1.754    1.041    2.594    2.767   -0.045    0.668 
3075.254   -0.820   -0.792    3.573    3.121   -1.070   -1.161    2.609    2.881 
3107.952   -1.243   -2.194   -1.900   -1.471    2.907    2.501    2.138    3.175 
3151.630    4.183   -3.844   -1.069    1.735   -1.021    0.344   -1.709    0.893 
3163.476   -1.974    1.807   -1.519    1.463   -2.868    2.554   -2.797    2.732 
3169.086   -0.087    0.561   -3.046    3.532   -0.614    1.371    3.316   -2.548 
3178.076   -0.635    0.983   -2.107    2.645    3.378   -3.573   -1.833    1.315 
2918.107    2.153    2.193   -2.152   -2.152   -2.259   -2.494    2.435    2.168 
3071.799   -3.310   -2.885    1.443    1.505   -1.876   -2.463    2.018    1.999 
3084.614    1.697    2.267    3.171    2.784    1.603    1.316    2.447    2.355 
3111.000    1.744    1.252    2.407    2.033   -2.795   -2.836   -1.739   -2.857 
3157.400    2.530   -2.906   -0.598    0.355    2.566   -1.680    3.113   -2.657 
3167.997    2.798   -2.787   -1.493    2.102   -3.143    2.893   -0.299    1.107 
3176.951   -0.151    0.735   -3.447    3.817    2.017   -2.258   -1.940    1.450 
3180.489    2.385   -2.219    2.146   -1.989    1.476   -1.742   -2.992    2.965 
2920.408   -2.230   -2.212    2.223    2.232    2.168    2.235   -2.398   -2.351 
3071.408   -0.783    0.262    3.389    2.840    0.162    0.023    3.009    3.460 
3074.835    3.780    3.917    1.470    0.657    1.889    2.005   -0.522   -1.065 
3107.936   -0.561   -0.787   -2.521   -1.656    3.361    3.594    1.512    2.259 
3152.762   -3.004    3.080    1.110   -1.991   -0.254    0.160   -3.377    2.489 
3164.095    2.204   -1.193   -2.129    3.193   -0.369   -0.132   -3.369    3.036 
3176.648   -2.695    3.070   -3.241    3.372   -0.318    0.234    1.133   -1.418 
3181.504   -0.212    0.304   -0.282    0.131    4.700   -4.448   -0.215    0.081 
2915.490   -2.339   -2.389    2.284    2.291    2.255    2.245   -2.128   -2.079 
3067.143   -3.630   -3.180    0.310    0.296   -2.661   -2.601    1.136    1.602 
3080.780    0.935    1.359    3.363    3.378    0.461    0.320    2.710    2.910 
3106.259    1.823    0.848    1.982    1.981   -3.051   -2.761   -2.044   -2.912 
3151.567   -4.009    4.667    0.298   -0.151   -0.523    0.085   -1.689    0.539 
3165.689   -0.020    0.066   -4.401    4.398   -1.161    1.179   -0.393    0.377 
3168.938    0.372   -0.402    1.168   -1.187   -4.260    4.525   -0.034    0.321 
3179.333   -1.411    0.938   -0.353    0.209   -0.224    0.473    4.644   -4.149 
2924.347   -2.244   -2.228    2.247    2.369    2.368    2.214   -2.177   -2.227 
3081.150    2.248    2.236    1.819    2.129    2.480    2.465    2.521    2.258 
3089.057    2.545    2.321   -2.119   -2.031    1.981    1.940   -2.459   -2.756 
3117.009    2.275    2.097    2.764    2.594   -1.982   -2.678   -1.961   -1.693 
3168.870    0.302   -0.171    2.013   -1.536   -3.394    3.096    2.531   -2.785 
3174.634   -3.390    3.694    2.120   -2.081   -0.486    0.820   -1.951    1.819 
3180.123   -2.713    2.786   -3.135    3.196   -0.689    0.221    1.654   -1.914 
3182.910   -1.015    0.803    1.731   -1.958    3.142   -3.084    2.797   -2.547 
2925.934   -2.298   -2.332    2.259    2.227    2.214    2.258   -2.263   -2.239 
3077.632   -3.332   -2.641    1.309    1.333   -1.996   -2.034    2.031    2.758 
3088.988    1.888    2.126    2.833    2.693    1.781    1.794    2.391    2.521 
3114.017    1.846    1.036    2.525    2.522   -2.975   -2.860   -1.388   -2.350 
3164.458   -3.368    4.308    0.301   -0.085   -0.464    0.018   -2.935    1.708 
3177.347   -0.922    0.758    3.598   -3.688    2.223   -2.243    1.454   -1.418 
3180.333   -2.265    1.931   -0.776    0.629   -1.831    2.007    3.687   -3.362 
3182.675   -0.846    0.889   -2.637    2.745    3.534   -3.492    0.835   -0.881 
2909.112   -2.411   -2.386    2.348    2.287    2.167    2.026   -2.036   -2.277 
3067.085    2.493    2.208    2.532    2.536    2.069    2.052    1.931    2.241 
3074.830   -1.427   -2.050    2.436    2.452   -3.213   -2.529    1.731    1.861 
3106.184   -1.895   -2.995   -1.469   -1.783    1.915    1.887    3.091    2.602 
