  Ax   Bx   By   Cy   Cx   Dx   Dy   Ay   AQ   AL   BQ   BL   CQ   CL   DQ   DL
  3.   3.  26.  26.   9.    9.  38.  39.   0.  64.   0.   0.   0.   0.   0.  60. 
  0.   0.  19.  19.   0.    0.  19.  19.   4.  31.   9.   4.  10.   0.   0.   9. 
  0.   0.  26.  26.   2.    2.  24.  24.   0.  25.  57.   0.  32.  25.  25.  30. 
 27.  27.  23.  23.   4.    4.   0.   0.   0.  44.  23.  25.  32.  23.  23.   0. 
  0.   0.  11.  11.   4.    4.  15.  15.   0.  17.   8.   0.  28.   8.  10.   0. 
  8.   8.   8.   8.   0.    0.  16.  16.  28.  11.  18.   0.   0.  11.  11.  34. 
  0.   0.   3.   4.  42.   43.  46.  46.   2.  39.   0.   2.   8.   0.   4.   2. 
 13.  13.   2.   2.  30.   30.  15.  15.   6.   0.   0.   6.  34.   0.  25.   6. 
 39.  39.   0.   0.   9.   10.  29.  30.   7.  18.  46.   0.   0.  18.  18.  18. 
  0.   0.  12.  12.  27.   28.  22.  23.   0.   0.   0.   0.   0.  26.   0.  11. 
 15.  15.   0.   0.  15.   15.   0.   0.   5.   3.   0.  38.  31.   0.  55.   5. 
  0.   0.  21.  21.  11.   11.  10.  10.   0.   2.  17.   0.   0.  19.   2.   6. 
 18.  18.   0.   0.  28.   28.  10.  10.  38.   0.   0.  14.  14.  63.   0.  22. 
  0.   0.   8.   9.  12.   12.  20.  21.  32.   6.   6.   0.   0.  12.  28.   0. 
 12.  12.   1.   1.   0.    0.  13.  13.  36.  15.  15.  30.   0.  15.  23.   0. 
 14.  14.   7.   7.  38.   39.  18.  18.   0.  46.  46.   0.  47.  46.  46.  20. 
  0.   0.  16.  16.   9.    9.   7.   7.   3.   0.   8.   3.   3.  37.   0.  22. 
 22.  22.   0.   0.   5.    5.  17.  17.   4.   1.   0.  12.   4.   0.  18.   4. 
 13.  13.   0.   0.  13.   13.   0.   0.   0.  36.  32.  20.  32.  32.  54.   0. 
  3.   3.  23.  24.  13.   13.   7.   8.   0.  24.  24.  33.   2.  24.  24.   0. 
 32.  32.   0.   0.  21.   22.  10.  11.  21.  12.  12.   9.   0.  12.  15.   0. 
  1.   1.  10.  11.  30.   31.  42.  42.   0.  12.   0.   0.   0.   0.  46.   0. 
  1.   2.   3.   3.   4.    5.   0.   0.   0.  26.  26.  21.   9.  26.  26.   0. 
 33.  34.   8.   9.  25.   25.   0.   0.   0.  52.  26.   6.  20.  26.  26.   0. 
 10.  10.  11.  11.   0.    0.   1.   1.   8.  52.   9.   8.  14.   0.   0.   8. 
  8.   8.   0.   0.  12.   12.  12.  13.   3.  26.  26.   0.   0.  26.  28.   0. 
  1.   1.  20.  20.  21.   21.   0.   0.   0.   5.   5.   0.   0.  36.  12.   0. 
 22.  23.   0.   0.   0.    0.  22.  23.  28.   0.   0.  36.  24.   0.  11.  24. 
  8.   8.   0.   0.  42.   43.  34.  35.  17.   0.   0.   3.   3.  14.   0.  18. 
 11.  12.  22.  22.   0.    0.  30.  30.  24.   6.  58.   0.   0.   6.   6.   0. 
  3.   3.   0.   0.   3.    3.   0.   0.  10.   0.   0.   8.   1.  24.  14.   1. 
 30.  30.   9.   9.  10.   10.  11.  11.  27.  50.  39.  27.  27.   0.   0.  27. 
 28.  29.   3.   3.  24.   24.   2.   2.  18.   8.  54.  18.  18.   0.   0.  18. 
 24.  25.  40.  41.  53.   53.   0.   0.   3.   0.   0.  22.   4.   0.   0.   3. 
  0.   0.   1.   2.   0.    0.   1.   2.  40.   0.  29.  10.  10.  10.   0.  48. 
  2.   2.   0.   0.   2.    2.   0.   0.   0.  14.   6.  32.   2.   6.   8.   0. 
 44.  44.  20.  20.   6.    6.  18.  18.   5.  14.  28.   0.   0.  14.  14.   0. 
  0.   0.  35.  36.  25.   26.  27.  27.   0.   4.   4.   0.   2.   4.   4.  56. 
 12.  12.  25.  25.  37.   37.   0.   0.   4.   0.  23.   4.  14.   0.   0.   4. 
 35.  35.  26.  26.   0.    0.  11.  11.  27.   9.   9.  37.   0.   9.   9.   0. 
  7.   8.  28.  29.   2.    2.  19.  19.  14.   0.  15.  14.  34.   0.   0.  14. 
  0.   0.  13.  13.  13.   13.  26.  26.   0.   4.   4.   0.  58.   4.  25.   0. 
  0.   0.  13.  13.  48.   49.  40.  40.  15.   0.   0.  15.  15.  24.  16.  15. 
  6.   6.   1.   1.  44.   44.  37.  37.   0.   3.   3.   0.   7.   3.  40.   0. 
  5.   5.  31.  32.   0.    0.  26.  27.   0.  28.  22.  23.  49.  22.  22.   0. 
  8.   9.   0.   0.   8.    9.   0.   0.   3.  18.   0.  21.  56.   0.  56.   3. 
  2.   2.   0.   0.  13.   13.  12.  12.  18.  44.   0.  18.  18.   0.   0.  22. 
 42.  43.  28.  29.   0.    0.  38.  38.  21.   5.   5.  38.   0.   5.   5.   0. 
  9.   9.  12.  12.   0.    0.   5.   5.  32.   0.  23.   2.   2.   0.   0.   2. 
  0.   1.  29.  29.  29.   30.   0.   0.  34.   0.   0.  36.  34.  24.  40.  34. 
 40.  41.  25.  26.  15.   15.   0.   0.   0.  58.   5.   0.   8.   5.   5.   0. 
 33.  33.   0.   0.  24.   24.  23.  24.  28.  14.   0.  28.  28.   0.  28.  28. 
  4.   4.  18.  18.   0.    0.  22.  22.  14.  10.   0.  25.  14.   0.  22.  14. 
  2.   3.  12.  12.  14.   15.   0.   0.  11.   0.   0.  42.  11.  35.   5.  11. 
  0.   0.   5.   5.   0.    0.   5.   5.  17.   0.  20.  16.  16.  48.   0.  46. 
 11.  11.   0.   0.  51.   51.  40.  40.   4.   1.   1.   0.   0.   8.   1.  12. 
 15.  15.  18.  19.   0.    0.  33.  34.   0.  34.  21.  61.   0.  21.  35.   0. 
  0.   0.  10.  10.  18.   18.  28.  28.  33.  16.   0.  33.  53.   0.  34.  33. 
 47.  48.  35.  35.  19.   20.   0.   0.   0.  12.  52.   0.   8.  12.  12.   0. 
 25.  25.  11.  11.  14.   14.   0.   0.  42.  10.  49.  42.  45.   0.   0.  42. 
 10.  10.  14.  14.   0.    0.   4.   4.  48.  26.  26.  45.   0.  40.  26.   0. 
  8.   8.   0.   0.   8.    8.   0.   0.  58.   0.   0.  20.  14.  47.  10.  14. 
  5.   5.   0.   0.   5.    5.   0.   0.   6.  41.  28.   6.  18.   0.   0.  14. 
  7.   7.   0.   0.   7.    7.   0.   0.  40.   0.   0.  18.   2.  26.  38.   2. 
  5.   5.   9.   9.  14.   14.   0.   0.  13.   0.   0.  28.  13.  21.  34.  13. 
  0.   0.  16.  16.   0.    0.  16.  16.  56.   0.   8.  15.  15.   2.   0.  28. 
  9.   9.   0.   0.  15.   15.  19.  20.   0.  56.  20.   0.   0.  20.  20.  55. 
 31.  31.   0.   0.  29.   29.  24.  24.  25.   2.   2.   0.   0.   2.  36.   0. 
  0.   0.  18.  18.  22.   22.  40.  40.  21.   0.   0.  21.  21.  18.   0.  52. 
 19.  19.   6.   7.  42.   42.  16.  17.  16.   0.   0.  16.  16.   4.  14.  16. 
  8.   8.  18.  19.   0.    0.  26.  27.   9.  14.  14.   9.   0.  14.  32.   0. 
 14.  14.   0.   0.  14.   14.   0.   0.   0.  14.   0.  35.   0.   0.  38.   0. 
 29.  30.   3.   3.  23.   23.   4.   4.   0.  13.  11.   1.   0.  11.  11.   0. 
  5.   5.   1.   1.   0.    0.   6.   6.  19.   0.   0.  23.   5.   0.  10.   5. 
  0.   0.   8.   8.  17.   17.  21.  21.   0.  22.  22.   0.   0.  38.  22.  56. 
  9.   9.   9.   9.  18.   18.   0.   0.   1.   0.   0.  32.  21.   0.  62.   1. 
 39.  39.   0.   0.  13.   13.  51.  52.   6.  33.   0.   6.   6.   0.   0.  14. 
 10.  10.   0.   0.  18.   19.   8.   9.  58.   0.   0.  26.  26.  63.  33.  26. 
  0.   0.  23.  24.   2.    2.  21.  22.   0.  35.  35.  23.  50.  35.  35.   0. 
  5.   5.   2.   2.   7.    7.   0.   0.  36.   0.   0.  54.  36.  52.  38.  36. 
  9.  10.  47.  48.  33.   33.   5.   5.   0.  19.  44.   0.   5.  19.  19.   0. 
 13.  14.  22.  22.   0.    0.  31.  32.  19.  21.  21.   1.   0.  21.  21.   0. 
  0.   0.  22.  23.   0.    0.  22.  23.  30.  18.   0.  32.  48.   0.  30.  30. 
 12.  12.  19.  19.  18.   19.  49.  50.  32.   0.   0.  24.  24.   0.  45.  24. 
  0.   0.   0.   0.  28.   28.  28.  28.  15.  28.   0.  15.  42.   0.   2.  15. 
 38.  38.   0.   0.   8.    8.  30.  30.   0.   9.   1.   0.   0.   0.   0.   2. 
  5.   5.   4.   4.  18.   19.  10.  10.   0.  16.  16.   0.   0.  35.  31.   0. 
  7.   8.   0.   0.   7.    8.   0.   0.  17.  20.  19.  17.  44.   0.   0.  42. 
 35.  36.  36.  36.   0.    0.   0.   1.  46.   0.   0.  28.   0.   8.   0.   0. 
 13.  13.  10.  10.  13.   13.   0.   0.   0.  26.  26.  43.  44.  26.  26.   0. 
  0.   0.   5.   5.   2.    3.   5.   6.   0.  24.  24.   0.   9.  24.  24.  41. 
 26.  27.  10.  10.   0.    0.  33.  34.  24.   0.   0.  22.   2.   0.   0.   2. 
 13.  14.  17.  18.  45.   46.  14.  15.   0.   0.   0.   0.   8.   0.   1.   0. 
 12.  12.   7.   8.  19.   20.   0.   0.   0.  30.  52.   0.  29.  30.  30.   3. 
  7.   8.   0.   1.   8.    8.   0.   0.   2.   0.  15.   2.   2.  36.   0.  12. 
 24.  24.  10.  10.  34.   34.   0.   0.  18.   0.   0.  41.  18.  39.   8.  18. 
 41.  42.  17.  18.  24.   24.   0.   0.   1.  12.  12.  26.   0.  32.  12.   0. 
  0.   0.  16.  17.  15.   15.   2.   3.   0.   4.   4.   0.   8.   4.   4.   9. 
  0.   0.  30.  30.   1.    1.  29.  29.   0.   2.   8.   0.  11.   2.   2.  54. 
  8.   8.   0.   0.   0.    0.   8.   8.   0.  36.  36.   0.   0.  21.  21.  12. 
  2.   2.   0.   0.  19.   19.  17.  17.  10.   0.   0.   1.   1.  42.   0.   9. 
 10.  10.  15.  15.  25.   25.   0.   0.  34.   0.   0.  54.  58.   0.  32.  34. 
  0.   0.   8.   8.   3.    3.   9.   9.   0.  12.  12.   0.   0.  38.  26.   0. 
 38.  39.  24.  24.   3.    3.  11.  11.  58.  12.  20.   0.   0.  12.  12.   0. 
  0.   0.  11.  11.   0.    0.  11.  11.  52.  27.  27.  20.   0.  28.  44.   0. 
 29.  29.   0.   0.  29.   29.   0.   0.  24.   0.   9.  20.  20.  60.   0.  31. 
 11.  11.   0.   0.  11.   11.   0.   0.  36.  42.   4.  36.  37.   0.   0.  45. 
 10.  10.   4.   4.   6.    6.  20.  20.   2.  12.   0.   2.   2.   0.  11.   2. 
 25.  25.  15.  16.  14.   14.   0.   0.  13.   0.   7.  13.  13.  52.   0.  13. 
 25.  25.   0.   0.  25.   25.  12.  12.  20.  30.   0.  20.  20.   0.   0.  30. 
  6.   7.  19.  19.  18.   19.   0.   0.   0.   5.   5.  39.   0.  24.   5.   0. 
  4.   4.   0.   0.   4.    5.   0.   1.   4.  17.   0.   4.  27.   0.   0.  57. 
  0.   0.  19.  19.   3.    3.  22.  22.  16.   0.   0.  14.  14.   0.  15.  14. 
 11.  11.  33.  33.   0.    0.  34.  34.  11.  18.   0.  28.  11.   0.   0.  11. 
  0.   0.  18.  18.   0.    0.  18.  18.  12.   5.   5.  26.   0.  10.  12.   0. 
 45.  46.  18.  18.  21.   21.   7.   7.  46.   8.   8.   0.   0.   8.   8.   0. 
  0.   0.  26.  26.   0.    0.  26.  26.   8.  16.   0.  30.  16.   0.  15.   8. 
  3.   3.   0.   0.   3.    3.   0.   0.  32.   0.   0.  32.   2.  62.  34.   2. 
  2.   2.  12.  12.   0.    0.  14.  14.  39.   3.   8.   0.   0.   3.   3.  12. 
 29.  29.   2.   2.  27.   27.   0.   0.  44.   0.   0.  53.  22.  34.   0.  22. 
